title,description,points,price
La Vis 2001 Bianco dei Sorni White (Trentino),"This blend of Chardonnay, Nosiola and Pinot Bianco offers up apples and ...",88,$15
Gebeshuber 2015 Lage Modler Zierfandler (Thermenregion),Creamy notes pear crumble make for a most attractive nose. The palate ...,89,$72.50
Marco Cecchini 2010 Tovè White (Colli Orientali del Friuli),"A blend of Friulano and Verduzzo, this delivers aromas of candied fruit, ...",87,$15
Wittmann 2015 Trocken Scheurebe (Rheinhessen),A surprising whiff of black currant on the nose of this elegant ...,91,$30
Abbazia di Novacella 2012 Praepositus Passito Kerner (Alto Adige Valle Isarco),"Heady scents of pressed jasmine, honey and candied orange waft out of ...",93,$30
Château Vignelaure 2015 Rosé (Coteaux d'Aix-en-Provence),Coming from a remote estate on the edge of the Lubéron mountains ...,93,$20
Lyrarakis 2015 Vilana (Crete),This indigenous Cretan variety shows its character in the deft hands of ...,89,$13
Corte Falco 2010  Soave,Here's a pure expression of the Garganega grape that sees (in part) ...,87,$15
Domenico Cavazza 2008 Memorio Creari  (Gambellara Classico),"Made with the indigenous Garganega grape (the same variety that makes Soave), ...",87,$23
Biecher & Schaal 2014 Altenberg de Bergheim Grand Cru White (Alsace),A rather perfumed nose hints at the Gewurztraminer that colors this Riesling ...,92,$45
Rafael Cambra 2012 Soplo Garnacha Tintorera (Valencia),Perfumed plum and raspberry aromas are slightly earthy and leathery. This is ...,90,$15
Poggio Argentiera 2012 Capatosta  (Morellino di Scansano),"Made with Sangiovese blended with 10% Ciliegiolo and 5% Alicante Bouschet, this ...",91,$35
Soellner 2014 von Gösing Roter Veltliner (Wagram),Lively notes of fresh yellow plum and mandarin open up into a ...,91,
Ribafreixo 2015 Pato Frio Antão Vaz (Alentejo),The grape is local to the Vidigueira region of the southern Alentejo. ...,85,$12
Pablo del Villar 2010 Ipsum Verdejo-Viura (Rueda),"White fruits, flower blossom and a touch of brine work the nose, ...",87,$10
Scubla 2008 Cràtis Verduzzo (Colli Orientali del Friuli),Verduzzo is a very interesting grape that tends to exude oxidized aromas ...,92,$18
Castell 2015 Castell Silvaner (Franken),"White blossom perfume accents notes of fresh lemon, lime and green melon ...",90,$16
Torbreck 2013 Cuvee Juveniles Red (Barossa Valley),"Built for early consumption, this blend of 59% Grenache, 22% Shiraz and ...",90,$22
Winzergenossenschaft Mayschoss-Altenahr 2013 Trocken Früburgunder (Ahr),"Quite rare in the U.S. market, this ripe richly berried wine is ...",90,$40
Chateau Dereszla 2014 Dry  (Tokaji),"This delicate Hungarian white wine is a blend of 86% Furmint, 9% ...",90,$16
Quinta do Vallado 2009 Sousão (Douro),"Sousão gives intense color and that, along with its attractive perfume, makes ...",90,$40
Casa de Vilacetinho 2013 Bruto Avesso (Vinho Verde),A fresh lemon-flavored wine with crisp acidity balanced by warmer white-stone fruit. ...,87,$30
Fiuza 2015 Red (Tejo),"Known in Spain as Graciano, this grape produces attractive, fruity wine especially ...",87,$14
Terre Rouge 2013 Vin Doux Naturel Muscat Blanc à Petits Grains (Shenandoah Valley (CA)),"An earthy, nutty aroma and flavor come through the intense sweetness and ...",87,$20
Agustí Torelló Mata 2015 XIC Xarel-lo (Penedès),Dusty stone-fruit aromas suggest yeast and nectarine. This varietal Xarel-lo feels citrusy ...,87,$16
Ignacio Marín 2015 Wine Wings Garnacha Rosé (Cariñena),"Crisp plum and red-bell-pepper aromas lead to a healthy, mostly fresh palate ...",87,$18
Domaine des Terrisses 2006 Grande Tradition Red (Gaillac),"Made from Fer Servadou, Duras and Syrah, this is a wine with ...",88,$14
Antichi Vinai 1877 2013 Pietralava Red (Etna),This ruby-hued blend of Nerello Mascalese and Nerello Cappuccio conveys aromas of ...,88,
Cusumano 2013 Cubia Tenuta Ficuzza Insolia (Sicilia),"Made entirely with Insolia, this opens with subdued aromas of tropical fruit ...",88,$27
I Clivi 2004 Bianco degli Arzillari White (Colli Orientali del Friuli),There's a saccharin or soda-like element to the nose of this Verduzzo-Friulano ...,85,$28
Marqués de Vizhoja 2007 Señor da Folla Verde White (Rías Baixas),"Quite leesy and funky, with meaty, oily aromas that are a departure ...",85,$25
Santa Alicia 2012 Millantu Red (Maipo Valley),"Earthy red-fruit aromas come with hints of olive, herbs and spice. The ...",90,$25
Domaine Rotier NV Noces de Feu Duras (Vin de Liqueur),This wine came out of the disaster of shriveled Duras grapes after ...,90,
Wilridge 2014 Vintage Estate Dessert Wine Wilridge Vineyard Red (Naches Heights),"This wine is an unusual blend of Touriga (38%), Tinto Cão (20%), ...",84,$20
Palivou 2006 White Fox Roditis (Corinth),"The White Fox is a refreshing, crisp white that offers a balance ...",87,$15
Tsantali 2006 Ambelonas at Agios Pavlos White (Halkidiki),"The bone-dry, earthy minerality of Assyrtiko blends well with the crisp, fresh ...",87,$13
Broccardo 2012 I Tre Pais  (Barolo),"This opens with aromas of oak, toast and espresso that carry over ...",88,$50
Chamlija 2014 Papaskarasi (Thrace),"From a winery that specializes in this rare variety, this single varietal ...",88,$20
Famille Laplace 2015 Aramis Rouge Tannat-Syrah Tannat-Syrah (Vin de France),"Made to be drunk young, this is a soft, ripe and fruity ...",88,$10
Bacalhôa Wines of Portugal 2014 Quinta dos Quatros Ventos Red (Douro),"This estate whose name means four winds is in the Douro Superior, ...",93,$28
Judd's Hill 2014 Charbono (Suisun Valley),What a treat to find a great rendition of this rare varietal. ...,93,$38
White Hart Wine 2014 Vasthoudend Red (Monterey),Extreme concentration combined with a velvety texture make this inky-dark wine made ...,93,$40
Bodega de Edgar 2014 Toro de Paso Red (Central Coast),"Very roasted notes of coffee, warm leather, tobacco leaves, sagebrush and stewed ...",92,$48
Barkan 2010 Classic Merlot-Argaman (Dan),"This 50-50 blend is easy and drinkable now, with a soft structure ...",85,$12
Cusumano 2010 Insolia (Sicilia),"Cusumano''s fresh Insolia delivers a steady, neutral nose with distant aromas of ...",85,$12
Griesbauerhof 2013 St. Magdalener Classico Red (Alto Adige),"Made with 95% Schiava and 5% Lagrein, this sleek red opens with ...",89,$19
Cave du Vin Blanc de Morgex et de la Salle 2013 Tradizionale Blanc de Morgex et de La Salle Prié Blanc (Valle d'Aosta),"From what are considered as the highest vineyards in Europe, this vibrant, ...",89,$20
Quintas de Melgaço 2014 Torre de Menagem Escolha White (Vinho Verde),"This blend of Alvarinho and Trajadura is initially crisp and fresh. Gradually, ...",89,$13
Tramin 2013 Pinot Nero (Alto Adige),"Pretty aromas of red berry, crushed flower and a hint of rosemary ...",89,$20
Albet I Noya 2013 Brut Natural Reserva Sparkling (Penedès),Focused crisp aromas of white fruits reflect a cool vintage. This is ...,90,$25
Château Coutinel 2015 Red (Fronton),The estate wine of Coutinel is dominated by the local Négrette grape. ...,90,$28
Barraco 2010 Zibibbo (Sicilia),"Zibibbo is usually presented as a passito dessert wine, but this is ...",86,$35
Abbazia di Novacella 2014 Müller-Thurgau (Alto Adige Valle Isarco),Delicate scents of elderflower and orchard fruit mix in the glass while ...,88,$20
Bodega Norton 2013 Reserva Malbec (Mendoza),"This screaming violet-colored chunkster is big and blocky up front, with aromas ...",88,$19
Bouchaine 2013 Bacchus Collection Estate Vineyard Pinot Meunier (Carneros),"Rare to find on its own, as it''s mainly used in sparkling-wine ...",88,$40
Nals Margreid 2014 Kerner (Alto Adige),"Grapefruit, peach and nectarine aromas carry over to the racy palate along ...",88,$20
Quinta do Vallado 2013 Sousão (Douro),The dark color and high acidity of this wine are both typical ...,88,$40
Alain Brumont 2011 Château Bouscassé Red (Madiran),Bouscassé is the home of Alain Brumont who also owns Château Montus ...,94,$25
Carlisle 2014 The Derivative White (Sonoma County),2014 proves another banner year for this delightful blend of Sémillon from ...,94,$28
Foradori 2013 Morei Teroldego (Vigneti delle Dolomiti),"At first shy and brooding, this slowly opens up in the glass, ...",93,$48
Mouchão 2012 Ponte das Canas Red (Alentejo),"From the historic Herdade do Mouchão in northern Alentejo, this is a ...",93,$20
Palari 2009  Faro,"Loaded with personality and special distinguishing qualities, this blend of Nocera, Nerello ...",92,$65
Santa Carolina 2009 VSC Red (Cachapoal Valley),"There''s a lot to like about this dense, deep, lush and totally ...",92,$40
Raventós de Alella 2015 Tina 20 Pansa Blanca (Alella),This varietal Xarello feels more flat than vivid. It has fleshy yet ...,85,$20
Botromagno 2016 Rosé di Lulu Rosato (Murgia),"Made with Nero di Troia grapes, this has aromas of wild rose, ...",85,$18
Gabriel Meffre 2015 La Châsse Sauvignon-Colombard White (Vin de France),This typical blend from southwest France draws on the intensely herbal character ...,85,$10
Zolo 2017 Sustainably Farmed Estate Grown and Bottled Torrontés (Mendoza),Tropical aromas of lychee and honeydew set up a straightforward palate. Powdery ...,85,$10
Aymara 2015 Estate Torrontés (Maipú),"Flat aromas of lanolin and oily white fruits lead to a round, ...",85,$13
Blue Valley 2015 Muskat Ottonel (Middleburg),"Powerful aromas of lychee, mango and peach give a vibrant feel tropical ...",85,$22
Fiuza 2015 Tinta Miúda Red (Tejo),"Tinta Miúda, known as the rare Graciano grape in Spain, is not ...",85,$12
Portal del Montsant 2014 Bruberry Red (Montsant),"Cherry cough drop and minerally, almost chlorine aromas lead to an edgy ...",85,$27
Cliff Creek 2011 Sams Valley Vineyard Claret (Southern Oregon),"Roughly equal portions of Cabernet Sauvignon, Cabernet Franc and Merlot go into ...",85,$25
Del Rio 2013 Claret (Rogue Valley),"The Claret benefits from an additional year of bottle age, integrating the ...",85,$35
Caves Aliança 2006 Galeria Bical (Bairrada),"Rounded but also fruity, this soft wine is perfumed, hinting at white ...",86,$15
Niel Santofimia 2013 Red (Almansa),"Charred, blackened aromas of mint, licorice and burnt tire overshadow the wine''s ...",84,$10
Producta Vignobles 2013 Mission St. Vincent  (Bordeaux),"While this wine has a strong tannic structure, it also offers plenty ...",84,$12
Manzoni 2011 Estate Reserve Pinot Noir (Santa Lucia Highlands),"A rich barrel selection, this is a fine Pinot Noir that''s silky, ...",91,$60
Juvé y Camps 2013 Essential Xarel-lo (Cava),Cidery aromas are briny. This feels low on bubbles but propped up ...,85,$15
Castillo de Liria 2014 Winemaker's Selection White (Valencia),This blend of Merseguera and Sauvignon Blanc is modest as a church ...,85,$9
Bodegas Paniza 2013 Agostón Viura-Chardonnay (Cariñena),"This Viura-Chardonnay blend smells odd, as if musky cologne was blended with ...",84,$13
Domäne Wachau 2012 Terrassen Gelber Muskateller (Wachau),Grape and spice aromas give this wine a distinctive heady perfume. A ...,87,$17
Tenute Soletta 2011 Kyanos White (Isola dei Nuraghi),"This blend of Incrocio Manzoni and Vermentino opens with bold floral intensity, ...",88,$32
Cottanera 2011 Barbazzale  (Etna),"Made from Nerello Mascalese and Nerello Cappuccio, this shows bright berry aromas ...",88,$14
Marionette 2012 Monastrell-Syrah (Jumilla),"Gritty aromas of stewed berry, lemony oak, green herbs and tin set ...",85,$13
Ricominciare 2010 Malbec-Tannat (Uco Valley),Initial plum and berry aromas fall off with airing and reveal notes ...,84,$15
Feudi del Pisciotto 2013 Baglio del Sole Inzolia (Sicilia),The nose isn't very expressive but reveals white flower and tropical fruit. ...,84,$12
Tenuta Luisa 2011 Refosco (Venezia Giulia),"Spicy and savory, it offers aromas of white and black pepper along ...",87,$19
Masottina 2006 Incrocio Manzoni 6.0.13 Manzoni (Colli Trevigiani),This Manzoni (a cross between Riesling and Pinot Bianco) opens with a ...,87,
Campos de Risca 2013 Estate Wine Organic Monastrell-Syrah (Jumilla),"Dusty aromas of desert brush, oak, blueberry, animal hide and green herbs ...",84,$18
Kintonis 2012 Agiorgitiko (Nemea),Thyme and crushed herbs on the nose of this red lead into ...,90,$15
Kintonis 2015 M Malagousia (Peloponnese),"Lemon zest, mango and flowers lead the nose on this elegant Malagousia. ...",89,$18
Lyrarakis 2015 Vóila Vineyard Assyrtiko (Crete),"Fresh lemon, sea salt and grapefruit aromas lead this buoyant pour from ...",89,$16
Rock Wall 2012 Heringer Vineyard Teroldego (Yolo County),"Floral aromas like lilac and lavender, then dry and substantial flavors like ...",88,$25
Pieropan 2011 Le Colombare  (Recioto di Soave),"Produced with dried Garganega grapes, this boasts aromas and flavors of dried ...",88,$53
Pietranera 2007  Brunello di Montalcino,"Opens with dark concentration and ripe berry fruit with layers of plum, ...",94,$45
Cantine Sant'Agata 2007 Pro Nobis  (Ruché di Castagnole Monferrato),Pro Nobis is a good example of the Ruché grape (a mysterious ...,87,$26
Vino z Czech 2011 Welschriesling (Moravia),"Smoke and struck-flint notes add a dark tone to this savory, herb-inflected ...",85,$25
Vino z Czech NV Cabernet Moravia (Moravia),The Cabernet Moravia grape is a cross between Cabernet Franc and Zweigelt. ...,85,$18
Fitz-Ritter 2006 Beerenauslese Rieslaner (Pfalz),"Verging on orange in color, this intensely botrytized wine from one of ...",90,$47
Château la Croix de Roche 2013  Bordeaux Supérieur,"This wine has ripe red fruit flavors, a dry core, balanced tannins ...",85,$15
Johnson Estate 2013 Freelings Creek Reserve Sparkling Traminette (Lake Erie),"Buoyantly aromatic, this blossomy Traminette sparkling wine stands out in a line ...",85,$18
Fabbioli Cellars 2013 Chambourcin (Virginia),"This wine is abundant with aromas of cherry Coke, sarsaparilla and baking ...",87,$18
Casa de Vilacetinho 2016 Avesso & Azal White (Vinho Verde),This is the lightest in a series of wines featuring the Avesso ...,87,$13
Quinta Nova de Nossa Senhora do Carmo 2016 Rosé (Douro),"This pale-colored wine, a blend of Tinta Francisca and Tinta Roriz, was ...",84,$45
Torrevento 2009 Torre del Falco Nero di Troia (Murgia),"Aged for 10 months in stainless steel in order to maintain simple, ...",85,
Principe Pallavicini 2012 Amarasco Cesanese (Lazio),"Made from old vines of Cesanese, this structured red offers an intriguing ...",90,$20
Borra 2012 Markus Nimmo White (California),"This energized white wine has a German accent. Aromas recall honey, honeysuckle, ...",90,$22
Davino 2013 Domaine Ceptura White (Dealu Mare),"A blend of 50% Sauvignon Blanc, 40% Feteasca Alba (a native Romanian ...",88,$22
Lis Neris 2010 Tal Lùc White (Venezia Giulia),"Made with dried Verduzzo and Riesling grapes, this sweet wine offers aromas ...",88,$43
Domeniile Panciu 2012 Feteasca Neagra (Panciu),This wine made from an indigenous Romanian grape has a bouquet of ...,88,$20
Torbreck 2010 RunRig Shiraz-Viognier (Barossa Valley),"A perplexing wine to evaluate, the 2010 RunRig (97% Shiraz and 3% ...",94,$225
Castelfeder 2013 Rieder Lagrein (Alto Adige),"Aromas of blackberry, violet and a whiff of dark spice lead the ...",89,$18
Nigl 2015 Gelber Muskateller (Niederösterreich),Hints of white blossom mix with faint notes of pear to create ...,89,$25
Tiefenbrunner 2013 Turmhof Lagrein (Alto Adige),"Aromas of violet, dark-skinned berry and baking spice are the highlights. On ...",89,$20
Gérard Bertrand 2014 Kosmos Organic Grapes Red (Vin de France),"This organic wine, produced with a natural and biodynamic approach, is an ...",89,$25
Pala 2013 Assoluto White (Isola dei Nuraghi),"Made with 80% Nasco and 20% Vermentino, this offers delicate aromas of ...",89,$45
14 Hands 2013 Reserve M-S-G-V Red (Horse Heaven Hills),Mourvèdre and Syrah each make up a third of this wine with ...,89,$30
Le Buche 2008 Olivi Cantine Pugnitello (Toscana),You won't find many wines made with the Pugnitello grape (a native ...,89,$49
Quinta de Foz de Arouce 2009 Branco Cerceal (Beiras),"A wild, herbal, wood-aged wine, its acidity a fine foil to the ...",89,$50
L'Ecole No. 41 2012 Sémillon (Columbia Valley (WA)),"L''Ecole tackles, with great success, two of the least-recognized strengths of Washington ...",90,$15
Lionel Osmin & Cie 2011 Donibane Red (Irrouléguy),"Coming from the Basque country, this blend of Cabernet Franc and Tannat ...",90,
Viña Santa Monica 2001 Chardonnay (Rapel Valley),"Heavy and gold in color, with aromas of browned butter, wheat and ...",87,$8
Albamar 2015 Estate Bottled Chardonnay (Casablanca Valley),"Prickly, punchy, pryazinic aromas will have you thinking this is Sauvignon Blanc ...",83,$12
Quinta de Gomariz 2011 Espadeiro Rosé (Vinho Verde),This is a fresh and fragrant rosé from the Vinho Verde region. ...,84,$13
Augusta Winery 2008 Seyval Blanc (Augusta),"A pretty, grapey wine with tones of pine and lemon underlying flavors ...",84,$9
Domaine Zinck NV Brut Sparkling (Crémant d'Alsace),"A blend of Pinot Noir, Chardonnay and Pinot Blanc, this is a ...",88,$22
Vallana 2007  Boca,This fragrant blend of 70% Nebbiolo and 30% Vespolina opens with enticing ...,91,$30
Mas Pere NV Rosado Sparkling (Cava),"This salmon-colored rosé is made from the Trepat grape. It smells common, ...",88,$17
Torbreck 2007 Descendant Shiraz-Viognier (Barossa Valley),"Full bodied and concentrated without being overly heavy or tannic, this is ...",94,$105
Beringer 2008 Alluvium Blanc Sauvignon Blanc-Semillon (Knights Valley),"As always, Beringer''s Alluvium blend is a complex white wine, meant to ...",88,$17
Iron Horse 2011 Russian Cuvée Sparkling (Green Valley),"First made during the Reagan-Gorbachev years, this blend of 74% Pinot Noir ...",90,$42
Stift Klosterneuburg 2014 Ausstich St. Laurent (Thermenregion),"The dark red fruit is enveloped in the rounded, rich and chocolaty ...",90,$25
Bula 2010 Red (Montsant),"Scratchy plum and raspberry aromas are fresh and forward, while the mouthfeel ...",88,$13
Johanneshof Reinisch 2012 Rotgipfler (Thermenregion),"Rotgipfler is almost an exclusivity to Thermenregion. This bright, fruity wine is ...",88,$20
Oliver Conti 2011 Treyu White (Empordà),The nose on this blend of Gewurztraminer and Macabeo defines neutral; it's ...,88,$16
Barnard Griffin 2014 Fumé Blanc Dry Sauvignon Blanc (Columbia Valley (WA)),"A mix of Sauvignon Blanc (77%) and Sémillon, this wine comes from ...",86,$9
Liebart-Régnier NV Brut  (Champagne),"Blending the three classic Champagne grapes, this is the nonvintage cuvée from ...",88,$45
Vinum 2013 White Elephant White (California),"This tradition-bucking blend of 61% Chenin Blanc, 31% Viognier and 8% Roussanne ...",86,$18
St. Supéry 2014 Estate Grown Moscato (Napa Valley),"This wine made from Muscat Canelli grapes is slightly spritzy and sweet, ...",86,$25
La Posta 2006 Cocina Blend Red (Mendoza),"“Cocina” means “the kitchen” in Spanish, and this blend of Malbec, Bonarda ...",87,$15
Tenuta di Vignole 2007  Chianti Classico,"Perfect for a pairing with lasagna or meat cannelloni with bechamel sauce, ...",87,
Reina de Castilla 2009 Isabelino Verdejo-Viura (Rueda),"Maybe it''s the Viura, becuase this $9 wine seems cleaner, rounder and ...",87,$9
Suvla 2012 Kinali Yapincak (Thrace),"Made of Kinali Yapincak, a grape native to Turkey, this deep-straw colored ...",84,$15
Terra d'Oro 2014 Teroldego (Amador County),"Super-concentrated and intense, this starts with a very deep color and aromas ...",92,$18
Cadaretta 2013 Syrah (Columbia Valley (WA)),"Though labeled as a Syrah, this drinks more like a GSM, with ...",92,$35
Perelada 2012 Finca Malaveïna Red (Empordà),"This five-grape blend is muscular and wide on the palate, with oaky ...",92,$28
Albet I Noya 2014 XA Xarel-lo (Penedès),"Bland aromas suggest applesauce. This varietal Xarello feels plump but flat. Candied, ...",84,$14
Wine with Spirit 2013 Bastardo! Black Edition Tinto Red (Tejo),The wine is fresh with red berry flavors and a stalky tannic ...,84,$25
Tricky Rabbit 2012 Reserva Cabernet Franc-Carmenère (Maule Valley),"Chunky, slightly jammy plum and blackberry aromas are good but basic. In ...",86,$12
Chopo 2014 Monastrell-Syrah (Jumilla),Jammy plum and berry aromas come with dessert herb scents. A juicy ...,88,$24
Palma Real 2015 Verdejo-Viura (Rueda),"Melon, nectarine and mild citrus aromas are clean and direct. This basic ...",88,$10
Parras Wines 2015 Evidência Red (Dão),"This simple wine blends the typical Dão grapes of Alfrocheiro, Tinta Roriz ...",86,$10
Moletto 2001 Colmello Rosso Red (Veneto Orientale),Here's a blend of Merlot and Franconia (aged 48 months in oak) ...,88,$27
Korbel NV Sweet Cuvée Sparkling (California),"Yes, this blend of Chenin Blanc, Chardonnay, French Colombard and Muscat Canelli ...",86,$14
Ferrocinto 2015 Pollino Magliocco (Calabria),"Made entirely with Magliocco, a native grape from Calabria, this has aromas ...",88,
Baron-Fuenté NV Grande Réserve Brut  (Champagne),"Dominated by soft Pinot Meunier, this is a ripe wine. Sliced apple ...",88,$45
Chateau Dereszla 2015 Dry  (Tokaji),This straw-colored wine made predominantely from Furmint has tropical aromas of passion ...,89,$16
Lamadrid 2016 Single Vineyard Bonarda (Agrelo),This Bonarda could be your everyday red or house pour with no ...,89,$15
Domaines Vinsmoselle NV Pinot Luxembourg White (Moselle Luxembourgeoise),"This non vintage white blend is composed of 50% Auxerrois, 40% Pinot ...",89,$16
Ca' dei Zago 2012 Dosaggio Zero  (Valdobbiadene Prosecco Superiore),Made from 80-year-old Glera vines that have never been doused with herbicides ...,91,$30
Château Laurou 2015 Tradition Red (Fronton),This entry-level wine from Laurou is spicy and fruity. With a layer ...,86,$12
Domaine de Ménard 2015 White (Côtes de Gascogne),"Attractively aromatic, this is a crisp blend of Colombard and Sauvignon Blanc ...",86,$10
Estate Biblia Chora 2015 White (Pangeon),"he nose on this Assyrtiko blend is feisty and spicy, followed a ...",86,$23
Falua 2014 Tagus Creek Shiraz-Trincadeira Red (Alentejano),This blend of this wine is popular in Alentejo with Syrah now ...,86,$12
Molliver Vineyards NV Vidal Blanc (Virginia),"Oxidative in style, this Vidal Blanc boasts aromas of cidery apple, toasted ...",86,$11
Cantine Gulino 2012 Pretiosa Albanello (Terre Siciliane),"Made from the native Albanello grape, this concentrated wine has yellow flower ...",86,$20
Tre Nova 2009 Seccopassa Red (Columbia Valley (WA)),"This was fermented from dried Barbera, Sangiovese and Nebbiolo grapes, concentrating the ...",88,$60
Cave du Marmandais 2011 La Vieille Eglise Red (Côtes du Marmandais),"Some firm tannins give solid structure and smoky character to this wine, ...",88,$15
Ocone 2008 Calidonio Red (Taburno),Calidonio is a fascinating and deeply layered wine that is remarkable off ...,92,$42
Pietro Beconcini 1999 Caratello  (Vin Santo del Chianti),This 60-40 blend of Trebbiano Toscano and Malvasia Bianca offers a traditional ...,90,
Coronica 2012 Malvasia (Istria),"Salt air, lemon pith and lemon blossom lead in this 100% Malvasia ...",88,$20
Miloš 2009 Plavac Mali (Peljesac),"This garnet-colored wine conveys aromas of cranberry, black cherry and bramble. Flavors ...",88,$27
Pedro Escudero 2013 Fuente Milano Verdejo-Viura (Vino de la Tierra de Castilla y León),"With minerally, clean aromas of lemon-lime and seashell, this is ready for ...",88,$11
Cave de Bissey NV Blanc de Blancs Brut  (Crémant de Bourgogne),"A blend of half and half Chardonnay and Aligoté, this is a ...",88,$25
Kiona 2013 Estate Bottled Lemberger (Red Mountain),Lemberger has become something of a signature variety for this winery. Aromas ...,88,$15
Wine Man 2014 Mukuzani Saperavi (Kakheti),"Deep ruby in the glass, this wine offers a bouquet of cassis ...",88,$12
Chronic Cellars 2014 Sofa King Bueno Red (Paso Robles),"One of the Chronic brothers'' most beloved bottlings, this blend of 46% ...",88,$22
Artesana 2013 Tannat-Merlot-Zinfandel Red (Canelones),Cherry-berry aromas are floral but also a bit furry and volatile. The ...,86,$16
Donkey & Goat 2015 Grenache Noir Grenache (El Dorado),"This medium-bodied wine walks its own path, smelling like flowers, honey and ...",90,$28
Billecart-Salmon NV Brut Réserve  (Champagne),This producer's nonvintage cuvée showcases a blend of grapes from all the ...,90,$50
Gramercy 2013 Reserve Cabernet Sauvignon (Columbia Valley (WA)),"This wine is a blend of fruit from Bacchus, Phinny Hill and ...",92,$95
Mumm Napa 2011 Blanc de Blancs Reserve Sparkling (Napa County),"Dark, brooding tones of oak, caramel and hazelnut form around medium acidity ...",87,$42
Haak 2012 Thomas Jefferson Series Madeira Blanc du Bois (Texas),"For the drinker who likes their fortified wines on the earthy side, ...",87,$23
Pisoni 2015 Nosiola (Vigneti delle Dolomiti),"Made from native grape Nosiola, this straightforward white has subdued aromas of ...",87,$14
Schlink Haus 2013 Made With Organic Grapes Dornfelder (Rheinhessen),"Blackberry and cherry notes are approachable but slightly muted in this straightforward, ...",87,$12
Blanchard & Lurton 2014 Gran Vin White (Vista Flores),Mild white-fruit aromas come with overt oak scents. A theme of heavy ...,87,$30
Fiuza 2015 3 Castas Red (Tejo),"This blend of Touriga Nacional, Syrah and Cabernet Sauvignon is surprisingly soft ...",87,$12
Caracol Serrano 2013 Red (Jumilla),Leather and citrus aromas unleash a mild chemical note on the nose ...,85,$11
Les Rocailles 2014 Saint-Jean-de-la-Porte Mondeuse (Vin de Savoie),This wine is stalky with wild blackberry fruits and spicy acidity. It ...,85,$20
Santa Quiteria 2013 BT Bodega Tintoralba Garnacha Tintorera (Almansa),Dusty strawberry and cherry aromas are modest and fruity. This Garnacha Tintorera ...,85,$10
Caruso & Minini 2006 Terre di Giumara Sachia Perricone (Sicilia),Sachia is a pure expression of the Perricone grape variety that shares ...,88,$19
